id ;name                                  ;category ;picture                       ;picture_content_type ;document                      ;document_content_type
 1 ;qualifier actionnaire                 ;DOCUMENT ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 2 ;exposer                               ;IMAGE    ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 3 ;mentionner                            ;IMAGE    ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 4 ;quasi ha ha                           ;DOCUMENT ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 5 ;désigner beaucoup                     ;DOCUMENT ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 6 ;commis                                ;IMAGE    ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 7 ;sur céder du moment que               ;IMAGE    ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 8 ;approfondir de crainte que comme      ;IMAGE    ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
 9 ;administration quoique de crainte que ;IMAGE    ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
10 ;dynamique après que                   ;IMAGE    ;../fake-data/blob/hipster.png ;image/png            ;../fake-data/blob/hipster.png ;image/png
