id;purpose;content;sentat;isread
1;de peur que miam paf;que pour que au-dessus de;2023-11-21T10:28:22;false
2;délégation;à condition que;2023-11-22T06:23:09;false
3;par groin groin cependant;instruire au prix de deçà;2023-11-22T05:22:10;true
4;neutre;récupérer;2023-11-21T23:39:04;false
5;simple protéger solitaire;plic;2023-11-21T16:51:08;true
6;aux environs de infime après;broum de crainte que turquoise;2023-11-21T23:30:00;true
7;quasiment;au cas où gens;2023-11-21T07:36:15;true
8;remonter ailleurs conseil d’administration;deçà presque;2023-11-21T10:07:27;true
9;abolir à travers;équipe du fait que repartir;2023-11-22T01:30:04;false
10;aïe;aussi patientèle membre du personnel;2023-11-21T08:08:55;true
