id;status;validation;description;state;label
1;REJECTED;déjà sous;prestataire de services;31033;rédaction contre
2;APPROVED;touriste après que égoïste;du moment que;16686;au-dedans de paf lâche
3;REJECTED;détendre ouf afin que;vraiment du moment que;26878;spécialiste
4;PENDING;pin-pon;toc;8348;sitôt que jusqu’à ce que
5;PENDING;en extra;gai pourvu que;1497;membre titulaire
6;REJECTED;actionnaire serviable;patientèle orange sus;25019;tchou tchouu police tic-tac
7;PENDING;souvent rectorat;parce que cot cot jusqu’à ce que;26730;splendide vivre
8;APPROVED;actionnaire rectangulaire à la faveur de;électorat parlementaire guère;22265;personnel mature
9;REJECTED;arranger à partir de;pendant que déclarer attarder;5202;hirsute
10;APPROVED;amorphe témoigner jusque;à côté de jusqu’à ce que suivant;2903;miaou pendant que coac coac
